The genome of the model beetle and pest Tribolium castaneum,Tribolium Genome Sequencing Consortium,Abstract Tribolium castaneum is a member of the most species-rich eukaryotic order; apowerful model organism for the study of generalized insect development; and an importantpest of stored agricultural products. We describe its genome sequence here. Thisomnivorous beetle has evolved the ability to interact with a diverse chemical environment;as shown by large expansions in odorant and gustatory receptors; as well as P450 andother detoxification enzymes. Development in Tribolium is more representative of otherinsects than is Drosophila; a fact reflected in gene content and function. For example;Tribolium has retained more ancestral genes involved in cell–cell communication thanDrosophila; some being expressed in the growth zone crucial for axial elongation in short-germ development. Systemic RNA interference in T. castaneum functions differently from …,Nature,2008,909
Integrating in situ solvothermal approach synthesized nanostructured tin anchored on graphene sheets into film anodes for sodium-ion batteries,Fei Pan; Weimin Zhang; Jingjing Ma; Ningna Yao; Li Xu; Yu-Shi He; Xiaowei Yang; Zi-Feng Ma,Abstract We demonstrate here an effective strategy to construct three-dimensional (3D)metal-graphene based film electrodes. The build blocks are tin nanopartilces well anchoredon graphene sheets which were synthesized by a feasible and controllable in situsolvothermal method and a subsequent thermal reduction process. In this study; we foundthe solvent type is the key and only with organic solvent (ethanol) the desired 3D graphenesheets anchored tin nanoparticles (Sn/GS) films can be obtained. The graphene oxide (GO);which is the original source of conductive GS network; can also serve as a surfactant toinhibit the secondary aggregation of nanoparticles. Accordingly; the homogeneous Snnanoparticles (∼ 10 nm) can evenly distribute into the GS matrix. The as-obtained self-supporting Sn/GS films; when were used as anode materials for sodium-ion batteries …,Electrochimica Acta,2016,11
Fabrication of a three-dimensional graphene coating for solid-phase microextraction of polycyclic aromatic hydrocarbons,Shuaihua Zhang; Zhi Li; Xiumin Yang; Chun Wang; Zhi Wang,A novel three-dimensional graphene (3D-G) coated fiber for solid-phase microextraction(SPME) was fabricated via a sol–gel coating method on stainless steel wires. The 3D-G wasobtained by connecting graphene oxide (GO) sheets with Ca2+ and water molecules byhydrothermal treatment. Due to the π–π stacking and hydrophobic interactions between the3D-G and the analytes; the 3D-G fibers showed high extraction efficiencies for the polycyclicaromatic hydrocarbons (PAHs). The developed method; which combined the 3D-G coatedfiber-based SPME with gas chromatography-flame ionization detection; had largeenhancement factors (842–2458); low limits of detection (2.0–10.0 ng L− 1) and good linearrange (10.0–1000.0 ng L− 1) for the PAHs in water samples. Single fiber repeatability andfiber-to-fiber reproducibility were in the range of 4.7–8.8% and 6.4–11.9%; respectively …,RSC Advances,2015,11
A highly efficient catalyst for Suzuki–Miyaura coupling reaction of benzyl chloride under mild conditions,Zhenhong Guan; Buyi Li; Guoliang Hai; Xinjia Yang; Tao Li; Bien Tan,Diarylmethane derivatives; essential building blocks in organic synthesis; are usuallysynthesized through the traditional electrophilic substitution reaction ie; Friedel–Craftsreaction; which suffers from the rearrangement and weak reactivity of aromatic compoundswith deactivating/electron-withdrawing groups. The Suzuki–Miyaura coupling reaction of low-cost benzyl chloride as an alternative method overcomes these defects. Pd (II)organometallic catalysts immobilized on the triphenylphosphine-functionalized microporousknitting aryl polymer (KAPs (Ph-PPh3)-Pd) as a novel heterogeneous catalyst was employedin Suzuki–Miyaura coupling reaction of benzyl chloride and exhibited excellent catalyticactivity under mild conditions with a turnover frequency (TOF) up to 76 min− 1 (4569 h− 1).This work reveals that the microporous structure of the catalyst can rapidly adsorb …,RSC Advances,2014,11
Chemotaxis and oospore formation in Phytophthora sojae are controlled by G‐protein‐coupled receptors with a phosphatidylinositol phosphate kinase domain,X Yang; W Zhao; C Hua; X Zheng; M Jing; D Li; F Govers; HJG Meijer; Y Wang,Summary G-protein-coupled receptors (GPCRs) are key cellular components that mediateextracellular signals into intracellular responses. Genome mining revealed thatPhytophthora spp. have over 60 GPCR genes among which a prominent class of 12encoding novel proteins with an N-terminal GPCR domain fused to a C-terminalphosphatidylinositol phosphate kinase (PIPK) domain. This study focuses on two GPCR-PIPKs (GKs) in Phytophthora sojae. PsGK4 and PsGK5 are differentially expressed duringthe life cycle with the highest expression in cysts and during cyst germination; and at lateinfection stages. In P. sojae transformants that constitutively express RFP-tagged PsGK4and PsGK5; the fusion proteins in hyphae reside in small; rapidly moving vesicular-likestructures. Functional analysis using gene silencing showed that PsGK4-silenced …,Molecular microbiology,2013,11
Fos expression and hormone changes following electrical stimulation of the posterodorsal amygdala and the effects on food intake in conscious female rats,Xuejuan Yang; Jianqun Yan; Bo Lu; Xiaolin Zhao; Qi Lei; Dejun Yang; Ke Chen; Shiru Zhao; Guangjing Zhu,Abstract Previous studies have shown that lesions of the posterodorsal amygdala (PDA)produce hyperphagia and obesity in female rats. To better understand the role of the PDA inthe regulation of feeding behavior; the current study examined the effects of electricalstimulation of the PDA of female rats on food intake and identified neurons activated by PDAstimulation using Fos immunohistochemistry. Hormonal levels following stimulation of thePDA were also investigated. Electrical stimulation (100 μA; 0.2 ms; 20 Hz; 10 min) of thePDA remarkably decreased 1 h food intake of rats. Following PDA stimulation; the number ofFos-like immunoreactive neurons increased in the caudal and intermediate parts of thenucleus of the solitary tract (NST); the area postrema (AP); the external lateral subnucleus ofthe parabrachial nucleus (PBN); the arcuate nucleus of the hypothalamus (Arc); and the …,Brain research,2009,11
Device; systems and methods for localized heating of a vessel and/or in combination with mr/nmr imaging of the vessel and surrounding tissue,*,Featured are devices; systems and methods for localized heating of a vessel as well asdevices; systems and methods for MR/NMR imaging of a vessel while locally heating aportion of the vessel. More particularly featured are such devices; systems and methods foruse when administering or delivering therapeutic agents including genes and/or drugs to thetissues of the vessel. Such a method includes positioning a thermal energy delivery deviceproximal a target site within the vessel of a body and activating the thermal energy deliverydevice so as to heat the target site thereby locally increasing a temperature of tissue at thetarget site. In further embodiments; the method includes introducing a therapeutic medium tothe target site over a predetermined time period; and wherein said activating occurs at leastone of before; during or after said step of introducing.,*,2008,11
Effects of metoprolol on perioperative cardiovascular events in patients with risk or at high risk for coronary artery disease undergoing non-cardiac surgery,XY Yang; XM Wu; S Wang; Q Wang,OBJECTIVE: To assess the effects of metoprolol on perioperative cardiovascular events inpatients with risk or at high risk for coronary artery disease (CAD) who were to undergo non-cardiac surgery. METHODS: 102 patients with definite CAD or at high risk for CAD who wereto undergo selective non-cardiac surgery were randomized to 2 equal groups: Group A(blank control group) and Group B given metoprolol orally or intravenously from 2 h beforesurgery to 30 days after surgery. The dosage of metoprolol was adjusted according to theblood pressure and heart rate. The changes of peri-operative heart rate (HR); level ofcreatine kinase (CK)-MB; cardiac events such as unstable angina pectoris (UAP) andmyocardial infarction (MI); death; and stroke were recorded. RESULTS: The HR values; intra-operative and 6 h; 1 d; and 2 d after operation of Group B were all significantly lower than …,Zhonghua yi xue za zhi,2008,11
湖北钟祥河南移民与湖北本地居民食管鳞状细胞癌组织中 HPV 感染的比较,姚品芳， 黄环元， 付由高， 李广灿， 夏和顺， 杨小玲， 王瑞勤， 王锡印， 沙聚伟,摘要: 目的探讨湖北钟祥河南移民与湖北本地居民食管鳞状细胞癌组织中人乳头状瘤病毒(human papillomavirus; HPV) 感染的情况. 方法应用免疫组化SyP 方法. 检测82例食管癌组织中PV 和HPV 感染情况. 以正常食管手术残端黏膜组织作正常对照.结果钟祥食管癌高发区; 麻城地区; 湖北省肿瘤医院标本中PV 阳性感染率分别为75; 68.18; 72.5.HPV 分别为45; 36.36; 37.5%. Pv; HPV 的阳性表达与食管鳞癌具有显著相关(P<(). 05);正常食管黏膜组织中PV; HPV 均为阴性. 结果未发现PV; HPV 阳性细胞与食管癌细胞分化程度有明显相关性(P>(). 05). 在三组研究对象之间PV; HPV 的阳性率未显示统计学差异(P>(). 05).结论湖北钟祥河南移民及湖北其他地区居民食管癌组织中"-l--g 存在HPV 感染. HPV在一定的地域环境中与食管癌发生; 发展的关系可能具有普遍意义.,*,2005,11
Kinoform-based iterative random phase encryption,Fu-Min Liu; Hong-Chen Zhai; Xiao-Ping Yang,提出了一种将随机相位加密和相位恢复算法中的求解附加相位分布分二步实施的加密方法.由于该方法的实质是通过在随机谱和相息图之间进行相位恢复迭代以确定相息图和密钥的相位分布; 因而能够减小图像的解密误差. 在相息图相位离散化的迭代过程中; 采用增大设计冗余度的方法; 降低了由相位离散化所带来的解密误差. 最后; 通过计算机模拟实验验证了该方法在减小图像解密误差方面的有效性.,*,2003,11
Hexakis (1H-imidazole-κN3) nickel (II) bis [O; O′-diisopropyl dithiophosphate (1–)],Q-L Hao; F-F Jian; X-J Yang; Xin Wang; Ibrahim Abdul Razak; S Shanmuga Sundara Raj; H-K Fun,In the title complex;[Ni (Im) 6](iPr-dtp) 2 or [Ni (C3H4N2) 6](C6H14O2PS2) 2; thecoordination around the Ni atom; located on an inversion centre; is octhahedral with allpositions being occupied by tertiary N atoms of the imidazole moieties. Hydrogen bonds linkthe anions and cations into a two-dimensional network in the bc plane.,Acta Crystallographica Section C: Crystal Structure Communications,2000,11
IL-2 enhances allergic airway responses in rats by increased inflammation but not through increased synthesis of cysteinyl leukotrienes,Paolo M Renzi; LiJing Xu; Xiao Xia Yang; William S Powell; James G Martin,Abstract Background: IL-2 has been shown to increase allergic airway responses in rats.Objective: The purpose of this study was to investigate whether induction of inflammationand enhancement of cysteinyl-leukotriene (cys-LT) synthesis were involved in theaugmentation of airway responses caused by IL-2. Methods: Brown Norway rats receivedhuman recombinant IL-2 or saline subcutaneously twice a day from day 9 to day 14 aftersensitization to ovalbumin (OVA). On day 14; rats underwent either lung lavage or werechallenged with an aerosol spray of OVA; the airway responses and biliary excretion of cys-LTs were measured for a period of 8 hours after challenge; and the lung leukocyte numberswere determined after enzymatic digestion of lung tissues. Results: The early response afterOVA increased from 184.2%±13.5% in the animals receiving saline (n= 10) to 309%±51 …,Journal of allergy and clinical immunology,1999,11
Therapeutic effects of globular adiponectin in diabetic rats with nonalcoholic fatty liver disease,Hong Ma; Fan Cui; Jing-Jing Dong; Guo-Ping You; Xiang-Jiu Yang; Hua-Dong Lu; Yan-Ling Huang,AIM: To explore the therapeutic role of globular adiponectin (gAd) in high-fatdiet/streptozotocin (STZ)-induced type 2 diabetic rats with nonalcoholic fatty liver disease(NAFLD). METHODS: Seven rats were fed a basic diet (normal control group; NC) during theexperiment. Experimental rats (14 rats) were given a high-fat diet for 4 wk and were theninjected with STZ to induce type 2 diabetes mellitus (T2DM) and NAFLD. Half of theT2DM/NAFLD rats were randomly injected intraperitoneally with gAd for 7 d (gAd-treatedgroup); while the other 7 rats (T2DM/NAFLD group) received 0.9% saline. Plasmabiochemical parameters and insulin concentrations were measured. Liver histopathologywas examined by hematoxylin-eosin staining. Insulin receptor expression in the liver wasanalyzed by immunohistochemical staining; Western blot and quantitative real-time …,World Journal of Gastroenterology: WJG,2014,10
